WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
"POINT (106.807915 -6.332973)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.9012194 -6.2270734)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2270734,106.9012194,1.0
"POINT (106.8305808 -6.1826172)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.1826172,106.8305808,1.0
"POINT (106.9013053 -6.1507874)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.1507874,106.9013053,1.0
"POINT (106.8427687 -6.2129732)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.2129732,106.8427687,1.0
